,zip,city,county,pop,ZIP,LAT,LNG,_merge,gundo_lat,gundo_long,Est_Dist_from_Home (Miles)
565,95661,Roseville,Placer,31315,95661,38.741074,-121.247693,both,33.92735,-118.41591,368.3932873
566,95131,San Jose,Santa Clara,31236,95131,37.387111,-121.897417,both,33.92735,-118.41591,309.0550436
567,92107,San Diego,San Diego,31223,92107,32.739055,-117.245404,both,33.92735,-118.41591,106.444391
568,90712,Lakewood,Los Angeles,31217,90712,33.849034,-118.147902,both,33.92735,-118.41591,16.31398194
569,94801,Richmond,Contra Costa,31210,94801,37.952844,-122.381974,both,33.92735,-118.41591,356.0816996
570,95070,Saratoga,Santa Clara,31196,95070,37.260499,-122.046165,both,33.92735,-118.41591,307.9067074
571,94043,Mountain View,Santa Clara,31161,94043,37.414028,-122.070679,both,33.92735,-118.41591,316.6956553
572,92203,Indio,Riverside,31140,92203,33.753959,-116.246487,both,33.92735,-118.41591,125.2060229
573,94070,San Carlos,San Mateo,31074,94070,37.496466,-122.272565,both,33.92735,-118.41591,328.3468141
574,94608,Emeryville,Alameda,31013,94608,37.836844,-122.289143,both,33.92735,-118.41591,346.6747379
575,92173,San Ysidro,San Diego,31000,92173,32.553021,-117.042454,both,33.92735,-118.41591,123.8888281
576,91505,Burbank,Los Angeles,30902,91505,34.173885,-118.346937,both,33.92735,-118.41591,17.50431124
577,91214,La Crescenta,Los Angeles,30787,91214,34.236302,-118.249185,both,33.92735,-118.41591,23.40675452
578,92673,San Clemente,Orange,30768,92673,33.467371,-117.613509,both,33.92735,-118.41591,56.07414592
579,93420,Arroyo Grande,San Luis Obispo,30740,93420,35.176043,-120.476694,both,33.92735,-118.41591,145.739153
580,95472,Sebastopol,Sonoma,30736,95472,38.398815,-122.861923,both,33.92735,-118.41591,396.4857981
581,93662,Selma,Fresno,30725,93662,36.536573,-119.638651,both,33.92735,-118.41591,193.2375403
582,94103,San Francisco,San Francisco,30703,94103,37.773134,-122.411167,both,33.92735,-118.41591,347.6681982
583,91607,Valley Village,Los Angeles,30611,91607,34.165783,-118.399795,both,33.92735,-118.41591,16.51763047
584,92120,San Diego,San Diego,30550,92120,32.794714,-117.071764,both,33.92735,-118.41591,110.302349
585,90680,Stanton,Orange,30531,90680,33.801191,-117.994904,both,33.92735,-118.41591,25.70632546
586,91355,Valencia,Los Angeles,30526,91355,34.439855,-118.644401,both,33.92735,-118.41591,37.78264302
587,91316,Encino,Los Angeles,30499,91316,34.160236,-118.515472,both,33.92735,-118.41591,17.08893873
588,94580,San Lorenzo,Alameda,30488,94580,37.675731,-122.133017,both,33.92735,-118.41591,332.6491579
589,94903,San Rafael,Marin,30427,94903,38.022366,-122.555605,both,33.92735,-118.41591,365.8598981
590,93654,Reedley,Fresno,30373,93654,36.658709,-119.401274,both,33.92735,-118.41591,196.9370518
591,95117,San Jose,Santa Clara,30369,95117,37.311181,-121.96187,both,33.92735,-118.41591,307.4041331
592,95682,Shingle Springs,El Dorado,30314,95682,38.612129,-120.964522,both,33.92735,-118.41591,353.7893099
593,95824,Sacramento,Sacramento,30296,95824,38.517585,-121.440739,both,33.92735,-118.41591,359.5115824
594,91731,El Monte,Los Angeles,30222,91731,34.078573,-118.043456,both,33.92735,-118.41591,23.78047046
595,94602,Oakland,Alameda,30162,94602,37.80432,-122.207545,both,33.92735,-118.41591,342.0954777
596,92405,San Bernardino,San Bernardino,30112,92405,34.144618,-117.301301,both,33.92735,-118.41591,65.63050859
597,92110,San Diego,San Diego,30108,92110,32.765244,-117.200391,both,33.92735,-118.41591,106.7384263
598,95834,Sacramento,Sacramento,30076,95834,38.635653,-121.518416,both,33.92735,-118.41591,368.6909105
599,90302,Inglewood,Los Angeles,30017,90302,33.975332,-118.355252,both,33.92735,-118.41591,4.809013297
600,92653,Laguna Hills,Orange,30012,92653,33.591304,-117.697512,both,33.92735,-118.41591,47.40081375
601,95966,Oroville,Butte,29860,95966,39.47536,-121.41411,both,33.92735,-118.41591,418.1416604
602,91356,Tarzana,Los Angeles,29822,91356,34.155097,-118.547553,both,33.92735,-118.41591,17.46637411
603,94549,Lafayette,Contra Costa,29795,94549,37.897009,-122.114292,both,33.92735,-118.41591,343.8962209
604,90028,Los Angeles,Los Angeles,29774,90028,34.099912,-118.326912,both,33.92735,-118.41591,12.98059814
605,93704,Fresno,Fresno,29740,93704,36.799054,-119.801608,both,33.92735,-118.41591,213.4458574
606,91746,La Puente,Los Angeles,29709,91746,34.044416,-117.985366,both,33.92735,-118.41591,25.98620439
607,91324,Northridge,Los Angeles,29670,91324,34.238208,-118.55029,both,33.92735,-118.41591,22.83778563
608,91792,West Covina,Los Angeles,29619,91792,34.022581,-117.902359,both,33.92735,-118.41591,30.18433646
609,94704,Berkeley,Alameda,29597,94704,37.866536,-122.257996,both,33.92735,-118.41591,347.1691393
610,92694,Ladera Ranch,Orange,29570,92694,33.547238,-117.623761,both,33.92735,-118.41591,52.60474094
611,91803,Alhambra,Los Angeles,29567,91803,34.074736,-118.145959,both,33.92735,-118.41591,18.53473786
612,94585,Suisun City,Solano,29525,94585,38.192498,-121.927529,both,33.92735,-118.41591,354.3082655
